card_id,historical_board,historical_workflow,historical_section,historical_column,column_type,historical_column_parent,"cycle_time (days)",card_title,size,last_moved,type,owners
1419,"Logística + Gestão de Despesas",Desenvolvimento,Progress,Backlog,Queue,Back-end,0.38,"BE - Criação da página ""Dashboard / Home""",5,"2024-07-31 23:59:36",Feature,"João,larissabraun"
1614,"Gestão de Frotas",Desenvolvimento,Progress,"Em Andamento",Activity,"Front - end",0.38,"Alterar o campo ""Cidade"" do filtro da tela ""Consolidado de Abastecimento"" - Servicarga",2,"2024-03-20 15:48:14",Feature,"benjamim,Igor Noia,Vinicius"
1615,"Gestão de Frotas",Desenvolvimento,Progress,"Em Andamento",Activity,"Front - end",0.38,"Alterar o campo ""Cidade"" do filtro da tela ""Negociações de Preços de Combustível - "" - Servicarga",2,"2024-03-20 15:48:13",Feature,"benjamim,Igor Noia,Vinicius"
2065,"Gestão de Frotas",Desenvolvimento,Progress,Validado,Activity,"Front - end",0.38,"Não desvincular placa do coringa quando dar como recebido no lote.",3,"2024-07-17 14:04:34",Feature,"Djonathan,Vinicius"
3528,"Gestão de Frotas",Desenvolvimento,Progress,"Code Review - Back-end",Activity,"Back - end",0.38,"PIX Avulso - Nova tela de conciliação bancaria PIX Avulso",5,"2024-07-12 13:28:40",Feature,"benjamim,Vinicius"
3664,"Gestão de Frotas",Desenvolvimento,Progress,Validado,Activity,"Front - end",0.38,"Régua de cobrança",2,"2024-07-26 10:56:17",Feature,"Deise,Djonathan,Vinicius"
3773,"Gestão de Frotas",Desenvolvimento,Progress,"Em Andamento",Activity,"Back - end",0.38,"Novo Endpoint para alimentação de dados do site",3,"2024-03-27 13:56:12",Feature,"Maieza Borges,Vinicius"
3774,"Gestão de Frotas",Desenvolvimento,Progress,Backlog,Activity,"Front - end",0.38,"Divisão do gráfico ""Movimentação Semestral"" em duas partes - Gestão a Vista",3,"2024-06-03 15:59:48",Feature,Vinicius
3834,"Logística + Gestão de Despesas",Desenvolvimento,Progress,"Em Andamento",Activity,Back-end,0.38,"BE - Construção do fluxo de valores entre contas - VPO",8,"2024-07-04 13:18:18",Feature,"jallyson,larissabraun"
3883,"Gestão de Frotas",Desenvolvimento,Progress,Bugs,Activity,"Revisão QA",0.38,"Melhorias na tela ""Contestação de Tags MoveMais""",3,"2024-07-23 10:50:49",Feature,"Djonathan,Fernando,Vinicius"
3890,"Logística + Gestão de Despesas",Desenvolvimento,Progress,"Aguardando Back-end",Activity,Front-end,0.38,"FE - Criação da pagina ""Dashboard / Home""",5,"2024-07-29 16:30:22",Feature,"Osvaldo,larissabraun"
4092,"Gestão de Frotas",Desenvolvimento,Progress,"Em Andamento",Activity,"Front - end",0.38,"Refatorar aba ""Manutenção"" da tela ""Veículos""",2,"2024-03-21 15:10:58",Refactoring,Fernando
4192,"Gestão de Frotas",Desenvolvimento,Progress,"Code Review - Back-end",Activity,"Back - end",0.38,"Nova tela ""Parâmetros Pedágio""",5,"2024-07-10 15:59:52",Feature,"benjamim,Vinicius"
4240,"Gestão de Frotas",Desenvolvimento,Progress,"Code Review - Back-end",Activity,"Back - end",0.38,"Criação do novo Limite - {Novo limite de crédito ""Prépago""}",5,"2024-06-12 09:41:01",Feature,"Djonathan,Vinicius"
4290,"Gestão de Frotas",Desenvolvimento,Progress,"Em Andamento",Activity,"Back - end",0.38,"Funcionalidade ""trocar tag"" para o integrador ""GrennPass""",5,"2024-06-24 17:45:24",Feature,"Djonathan,Vinicius"
4312,"Logística + Gestão de Despesas",Desenvolvimento,Progress,"Testando QA",Activity,"Revisão QA",0.38,"FE - Alterações tela Financeiro / Gestão de Transação PIX",3,"2024-07-24 13:19:30",Feature,"Geovani,larissabraun"
